equipment_id,temperature,humidity,pressure,failure
207,228,261,1215,0
208,229,262,1216,0
209,230,263,1217,0
210,231,264,1218,1
211,232,265,1219,1
212,233,266,1220,0
213,234,267,1221,1
214,235,268,1222,0
215,236,269,1223,0
216,237,270,1224,1
217,238,271,1225,1
218,239,272,1226,0
219,240,273,1227,1
220,241,274,1228,0
221,242,275,1229,0
222,243,276,1230,1
223,244,277,1231,1
224,245,278,1232,0
225,246,279,1233,1
226,247,280,1234,0
227,248,281,1235,0
228,249,282,1236,1
229,250,283,1237,1
230,251,284,1238,0
231,252,285,1239,1
232,253,286,1240,0
233,254,287,1241,0
234,255,288,1242,1
235,256,289,1243,1
236,257,290,1244,0
237,258,291,1245,1
238,259,292,1246,0
239,260,293,1247,0
240,261,294,1248,1
241,262,295,1249,1
242,263,296,1250,0
243,264,297,1251,1
244,265,298,1252,0
245,266,299,1253,0
246,267,300,1254,1
247,268,301,1255,1
248,269,302,1256,0
249,270,303,1257,1
250,271,304,1258,0
251,272,305,1259,0
252,273,306,1260,1
253,274,307,1261,1
254,275,308,1262,0
255,276,309,1263,1
256,277,310,1264,0
257,278,311,1265,0
258,279,312,1266,1
259,280,313,1267,0
260,281,314,1268,0
261,282,315,1269,1
262,283,316,1270,1
263,284,317,1271,0
264,285,318,1272,1
265,286,319,1273,0
266,287,320,1274,0
267,288,321,1275,1
268,289,322,1276,1
269,290,323,1277,0
270,291,324,1278,1
271,292,325,1279,0
272,293,326,1280,0
273,294,327,1281,1
274,295,328,1282,1
275,296,329,1283,0
276,297,330,1284,1
277,298,331,1285,0
278,299,332,1286,0
279,300,333,1287,1
280,301,334,1288,1
281,302,335,1289,0
282,303,336,1290,1
283,304,337,1291,0
284,305,338,1292,0
285,306,339,1293,1
286,307,340,1294,1
287,308,341,1295,0
288,309,342,1296,1
289,310,343,1297,0
290,311,344,1298,0
291,312,345,1299,1
292,313,346,1300,1
293,314,347,1301,0
294,315,348,1302,1
295,316,349,1303,0
296,317,350,1304,0
297,318,351,1305,1
298,319,352,1306,1
299,320,353,1307,0
300,321,354,1308,1
301,322,355,1309,0
302,323,356,1310,0
303,324,357,1311,1
304,325,358,1312,1
305,326,359,1313,0
306,327,360,1314,1
307,328,361,1315,0
308,329,362,1316,0
309,330,363,1317,0
310,331,364,1318,0
311,332,365,1319,1
312,333,366,1320,1
313,334,367,1321,0
314,335,368,1322,1
315,336,369,1323,0
316,337,370,1324,0
317,338,371,1325,1
318,339,372,1326,1
319,340,373,1327,0
320,341,374,1328,1
321,342,375,1329,0
322,343,376,1330,0
323,344,377,1331,1
324,345,378,1332,1
325,346,379,1333,0
326,347,380,1334,1
327,348,381,1335,0
328,349,382,1336,0
329,350,383,1337,1
330,351,384,1338,1
331,352,385,1339,0
332,353,386,1340,1
333,354,387,1341,0
334,355,388,1342,0
335,356,389,1343,1
336,357,390,1344,1
337,358,391,1345,0
338,359,392,1346,1
339,360,393,1347,0
340,361,394,1348,0
341,362,395,1349,1
342,363,396,1350,1
343,364,397,1351,0
344,365,398,1352,1
345,366,399,1353,0
346,367,400,1354,0
347,368,401,1355,1
348,369,402,1356,1
349,370,403,1357,0
350,371,404,1358,1
351,372,405,1359,0
352,373,406,1360,0
353,374,407,1361,1
354,375,408,1362,1
355,376,409,1363,0
356,377,410,1364,1
357,378,411,1365,0
358,379,412,1366,0
359,380,413,1367,1
360,381,414,1368,0
361,382,415,1369,0
362,383,416,1370,1
363,384,417,1371,1
364,385,418,1372,0
365,386,419,1373,1
366,387,420,1374,0
367,388,421,1375,0
368,389,422,1376,1
369,390,423,1377,1
370,391,424,1378,0
371,392,425,1379,1
372,393,426,1380,0
373,394,427,1381,0
374,395,428,1382,1
375,396,429,1383,1
376,397,430,1384,0
377,398,431,1385,1
378,399,432,1386,0
379,400,433,1387,0
380,401,434,1388,1
381,402,435,1389,1
382,403,436,1390,0
383,404,437,1391,1
384,405,438,1392,0
385,406,439,1393,0
386,407,440,1394,1
387,408,441,1395,1
388,409,442,1396,0
389,410,443,1397,1
390,411,444,1398,0
391,412,445,1399,0
392,413,446,1400,1
393,414,447,1401,1
394,415,448,1402,0
395,416,449,1403,1
396,417,450,1404,0
397,418,451,1405,0
398,419,452,1406,1
399,420,453,1407,1
400,421,454,1408,0
401,422,455,1409,1
402,423,456,1410,0
403,424,457,1411,0
404,425,458,1412,1
405,426,459,1413,1
406,427,460,1414,0
407,428,461,1415,1
408,429,462,1416,0
409,430,463,1417,0
410,431,464,1418,0
411,432,465,1419,0
412,433,466,1420,1
413,434,467,1421,1
414,435,468,1422,0
415,436,469,1423,1
416,437,470,1424,0
417,438,471,1425,0
418,439,472,1426,1
419,440,473,1427,1
420,441,474,1428,0
421,442,475,1429,1
422,443,476,1430,0
423,444,477,1431,0
424,445,478,1432,1
425,446,479,1433,1
426,447,480,1434,0
427,448,481,1435,1
428,449,482,1436,0
429,450,483,1437,0
430,451,484,1438,1
431,452,485,1439,1
432,453,486,1440,0
433,454,487,1441,1
434,455,488,1442,0
435,456,489,1443,0
436,457,490,1444,1
437,458,491,1445,1
438,459,492,1446,0
439,460,493,1447,1
440,461,494,1448,0
441,462,495,1449,0
442,463,496,1450,1
443,464,497,1451,1
444,465,498,1452,0
445,466,499,1453,1
446,467,500,1454,0
447,468,501,1455,0
448,469,502,1456,1
449,470,503,1457,1
450,471,504,1458,0
451,472,505,1459,1
452,473,506,1460,0
453,474,507,1461,0
454,475,508,1462,1
455,476,509,1463,1
456,477,510,1464,0
457,478,511,1465,1
458,479,512,1466,0
459,480,513,1467,0
460,481,514,1468,1
461,482,515,1469,0
462,483,516,1470,0
463,484,517,1471,1
464,485,518,1472,1
465,486,519,1473,0
466,487,520,1474,1
467,488,521,1475,0
468,489,522,1476,0
469,490,523,1477,1
470,491,524,1478,1
471,492,525,1479,0
472,493,526,1480,1
473,494,527,1481,0
474,495,528,1482,0
475,496,529,1483,1
476,497,530,1484,1
477,498,531,1485,0
478,499,532,1486,1
479,500,533,1487,0
480,501,534,1488,0
481,502,535,1489,1
482,503,536,1490,1
483,504,537,1491,0
484,505,538,1492,1
485,506,539,1493,0
486,507,540,1494,0
487,508,541,1495,1
488,509,542,1496,1
489,510,543,1497,0
490,511,544,1498,1
491,512,545,1499,0
492,513,546,1500,0
493,514,547,1501,1
494,515,548,1502,1
495,516,549,1503,0
496,517,550,1504,1
497,518,551,1505,0
498,519,552,1506,0
499,520,553,1507,1
500,521,554,1508,1
